ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2008-0042172,Central,Maric College,7/1/2008 00:00,7/1/2008 00:00,7/1/2008 00:00,7900 Block of S Watt Ave,Sacramento,95829,6737456.4205,1999105.798,PC 666 Petty Theft W/Prior Jail Term For Specific Offenses,
2008-0035359,Central,Franklin Boulevard,6/30/2008 23:39,7/1/2008 00:05,7/1/2008 01:00,Franklin Blvd & 51st Ave,Sacramento,95823,6715045.99984,1946157.00016,PC 496D(A) Poss Stolen Veh/Ves/Etc,
2008-0035360,Northwest,Rio Linda,7/1/2008 00:15,7/1/2008 00:15,7/1/2008 01:00,7200 Block of Q St & 2nd St,Rio Linda,95673,6715352.49993626,2016638.12508811,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0035380,Central,Fruitridge/Pocket,6/30/2008 23:00,6/30/2008 23:00,7/1/2008 01:20,4300 Block of E Nichols Ave,Sacramento,95820,6716587.66608,1957238.58728,PC 273.5 Inflict Crpl Inj Sp/Cohab,
2008-0035381,North,Five Points,7/1/2008 01:20,7/1/2008 01:30,7/1/2008 01:42,5100 Block of Fair Oaks Blvd,Carmichael,95608,6748866.4363,1979422.1787,PC 594(A)(2) Vandalism:Damage Property,
2008-0035394,Rancho Cordova,Cordova Meadows,7/1/2008 01:50,7/1/2008 01:51,7/1/2008 01:50,10000 Block of Folsom Blvd,Rancho Cordova,95670,6756603.3828,1974514.926,PC 273.5 Inflict Crpl Inj Sp/Cohab,
2008-0035379,Rancho Cordova,Folsom Estates,7/1/2008 00:15,7/1/2008 00:15,7/1/2008 02:04,2800 Block of Norcade Cir,Sacramento,95826,6743050.0486,1966291.5915,HS 11358 Plant/Cultivate/Etc Marijuana/Hashish,
2008-0035377,North Central,Bohemian Village,7/1/2008 00:58,7/1/2008 00:58,7/1/2008 02:05,Wright St & Yellowstone Ln,Sacramento,95821,6731355.00005,1988871.87508,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0035391,Central,Larchmont,7/1/2008 02:05,7/1/2008 02:06,7/1/2008 02:14,68th Ave & Power Inn Rd,Sacramento,95828,6730881.00017,1940849.74998,PC 245(A)(1) Force/Assault With A Deadly Weapon-Not Firearm:Gbi Likely,
2008-0035417,Central,past Florin Partnership,7/1/2008 01:50,7/1/2008 02:15,7/1/2008 02:15,5600 Block of Florin Rd,Sacramento,95823,6722005.21869,1942542.6239,PC 166(A)(4) Violation Of Court Order - Willful Disobedience,
2008-0035392,Central,Larchmont,7/1/2008 02:05,7/1/2008 02:11,7/1/2008 02:30,7900 Block of Florin Rd,Sacramento,95828,6730260.4173,1942748.02533,PC 459 Burglary,
2008-0035424,North,Carmichael Park,6/28/2008 21:00,6/30/2008 17:30,7/1/2008 02:34,4700 Block of Marconi Ave,Carmichael,95608,6746152.7522,1987526.9522,PC 288(A) Lewd Or Lascivious Acts W/Child Under 14 Years,
2008-0035376,Northwest,Maric College,7/1/2008 00:56,7/1/2008 00:56,7/1/2008 02:45,4300 Block of Watt Ave,North Highlands,95660,6737967.1162,1996415.8076,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0035383,Central,past Florin Partnership,7/1/2008 01:32,7/1/2008 02:25,7/1/2008 03:00,6900 Block of Stockton Blvd,Sacramento,95823,6724261.5,1945036.5,VC 10851(A) Take Vehicle Without Owner`S Consent,
2008-0035413,Rancho Cordova,Sunrise Industrial,7/1/2008 03:01,7/1/2008 03:01,7/1/2008 03:01,11300 Block of Sunco Dr,Rancho Cordova,95742,6772458.5,1982142.25,PC 594(A) Vandalism,
2008-0035419,North Central,Arden Manor,7/1/2008 02:54,7/1/2008 02:54,7/1/2008 03:13,2600 Block of Matheson Way,Sacramento,95864,0,0,PC 273.5 Inflict Crpl Inj Sp/Cohab,
2008-0035423,North Central,Howe Park,7/1/2008 03:20,7/1/2008 03:20,7/1/2008 03:29,2200 Block of El Camino Ave,Sacramento,95821,6728889.1422,1984658.9393,PC 211 Robbery,
2008-0035519,Northwest,Antelope,6/30/2008 09:00,6/30/2008 18:00,7/1/2008 05:44,4700 Block of Pacific Park Way,Antelope,95843,6746091.0693,2020561.6918,PC 488 Petty Theft,
2008-0035513,Central,Countryside Central,6/27/2008 18:00,6/30/2008 07:00,7/1/2008 07:33,8000 Block of Orchard Loop Ln,Sacramento,95828,6731407.84021,1928086.6925,PC 487 Grand Theft,
