cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/1/06 0:00,3108 OCCIDENTAL DR,3,3C        ,1115,10851(A)VC TAKE VEH W/O OWNER,2404,38.55042047,-121.3914158
1/1/06 0:00,2082 EXPEDITION WAY,5,5A        ,1512,459 PC  BURGLARY RESIDENCE,2204,38.47350069,-121.4901858
1/1/06 0:00,4 PALEN CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404,38.65784584,-121.4621009
1/1/06 0:00,22 BECKFORD CT,6,6C        ,1443,476 PC PASS FICTICIOUS CHECK,2501,38.50677377,-121.4269508
1/1/06 0:00,3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED,2299,38.6374478,-121.3846125
1/12/06 12:00,3282 BERETANIA WAY,1,1A        ,304,484G(B) PC ACCESS CARD FRAUD,2605,38.64998963,-121.5323364
1/12/06 21:00,4874 BANDALIN WAY,5,5B        ,1621,459 PC  BURGLARY RESIDENCE,2204,38.46792527,-121.4434966
1/13/06 8:00,2250 68TH AVE,5,5A        ,1384,242 PC  BATTERY CIVILIAN,1313,38.48934244,-121.4859396
1/13/06 12:10,22ND ST / C ST,3,3B        ,717,TOWED/STORED VEHICLE,7000,38.58364167,-121.4739148
1/13/06 18:28,1814 19TH ST,3,3A        ,776,484 PETTY THEFT-SHOPLIFT,2303,38.56796664,-121.4852542
