ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2008-0006536,Northwest,Elverta,1/31/2008 23:45,1/31/2008 23:46,2/1/2008 00:12,8300 Block of Palladay Rd,Elverta,95626,6721126.695,2024799.3979,PC 242 Battery,
2008-0006550,Rancho Cordova,Prospect Park,1/31/2008 20:00,2/1/2008 01:40,2/1/2008 01:40,2600 Block of Sunrise Blvd,Rancho Cordova,95742,6770502.0401,1982487.5468,PC 459 Burglary,
2008-0006561,Northwest,Antelope,2/1/2008 01:20,2/1/2008 01:20,2/1/2008 01:45,8400 Block of Oak Flat Way,Antelope,95843,6745403.8516,2026095.4414,PC 488 Petty Theft,
2008-0006562,Rancho Cordova,Rosemont Downs,1/31/2008 23:30,2/1/2008 02:40,2/1/2008 03:15,4300 Block of Oxwood Dr,Sacramento,95826,6748331.753,1959346.2762,PC 459 Burglary,
2008-0006592,North,Pershing,2/1/2008 05:00,2/1/2008 05:35,2/1/2008 06:39,8600 Block of Greenback Ln,Orangevale,95662,6779704.9683,2009511.4356,PC 459 Burglary-Vehicle,
2008-0007420,North,Foothill Farms NE,12/9/2007 12:30,12/9/2007 13:00,2/1/2008 08:00,6200 Block of Spruce Ave,Sacramento,95841,6750817.4253,2009600.6392,PC 288(A) Lewd Or Lascivious Acts W/Child Under 14 Years,
2008-0006619,Northeast,CHPD,1/28/2008 16:45,1/28/2008 16:45,2/1/2008 08:22,San Juan Ave & Madison Ave,Fair Oaks,95628,6763745.85985,2004285.30946,VC 23109 Speed Contest/Exh/Blck Rd,
2008-0006625,North,Carmichael Park,1/31/2008 12:40,2/1/2008 07:30,2/1/2008 09:00,4700 Block of Good Ct,Carmichael,95608,6746360.1951,1990837.0811,PC 488 Petty Theft,
2008-0006628,North,Southeast Fair Oaks,1/31/2008 20:00,2/1/2008 07:00,2/1/2008 09:00,9000 Block of La Serena Dr,Fair Oaks,95628,6784735.40472,1998717.25189,PC 459 Burglary,
2008-0006630,North,West Fair Oaks,1/31/2008 20:30,2/1/2008 07:00,2/1/2008 09:00,5300 Block of Elsinore Way,Fair Oaks,95628,6761442.9636,2004121.4437,PC 488 Petty Theft,
2008-0006627,Rancho Cordova,Sun River,1/31/2008 22:00,2/1/2008 08:30,2/1/2008 09:05,11200 Block of Skagit River Ct,Rancho Cordova,95670,6771082.6617,1990780.0203,PC 459 Burglary,
2008-0006629,North,Lincoln,12/16/2007 00:01,2/1/2008 09:00,2/1/2008 09:08,6700 Block of Rappahannock Way,Carmichael,95608,6759284.3751,1998594.0454,PC 484G Thft:Use Access Card Data,
2008-0006658,Rancho Cordova,Prospect Park,2/1/2008 09:14,2/1/2008 10:30,2/1/2008 09:14,Sunrise Blvd & Folsom Blvd,Rancho Cordova,95742,6770452.00002,1983237.74976,PC 422 Threaten Crime With Intent To Terrorize,
2008-0006633,North,Del Campo,1/31/2008 14:30,1/31/2008 16:10,2/1/2008 09:25,4700 Block of Manzanita Ave,Carmichael,95608,6754066.2172,1999703.362,PC 459 Burglary,
